GeneSymbol,rhythmicity_mm_Heart,rhythmicity_mm_Lung,rhythmicity_hs_Lung,GtexMeanTPMv8_hs_Muscle.Skeletal,GSE38718_gender_hs_sm,GSE123878_exercise_Mm_sm
ADAMTSL4,12.6794,13.0347,0.00985206,4.69129,,0.147298807909286
ADAMTSL5,16.3222,24.1906,0.186219,2.84004,,0.535804850972288
ADAP1,7.85544e-12,0.160611,1.12243,0.353109,0.0993735041733412,0.0221327394489183
ADAP2,8.22269,25.0691,9.99559,1.18693,0.0797223057418002,0.209825711689051
ADAR,5.76617e-15,7.44256,0.620723,4.14488,,0.131236910171001
ADARB1,1.3973,25.2485,7.26543,3.03873,0.0092286078193755,0.0479423500030136
ADARB2,0.0,2.47496,,0.0744764,,
ADAT1,0.00022862,1.56054,0.21301,1.792,0.191102466435621,0.136640090505792
ADAT2,0.192855,0.0,1.48468,1.28224,,0.259008286904163
ADAT3,1.15323e-14,0.0,0.436409,1.17426,,
ADCK1,2.74516,0.0636669,0.526797,3.07454,,0.134632492785248
ADCK2,1.92837,1.40273e-10,0.198685,3.57389,,0.10043996345366
ADCK5,1.44154e-15,2.69972,1.99661,2.27957,,0.0073592867291778
ADCY1,0.0,0.0,,1.44968,0.203163937225324,0.0694022314280989
ADCY10,0.0,1.18367e-13,,0.11652,0.0715758807666438,
ADCY10P1,,,1.06966,1.96755,,
ADCY2,4.61079e-07,0.0,,4.81385,,0.152392869001323
ADCY3,0.0030342,0.00296138,0.428804,2.79422,,0.24619848185884
ADCY4,4.97165,2.30998,1.83572,3.41455,0.110453713455636,0.100553330987019
ADCY5,0.183057,13.3361,6.00373,1.58027,0.13941550736434,0.342889833401436
ADCY6,14.3901,2.13243,0.667717,3.49336,,0.078091794231659
ADCY7,0.0,17.4599,4.80742,0.749631,0.0114867807649972,0.340439205781438
ADCY8,0.959324,0.0208869,,0.11452,,
ADCY9,0.114708,25.9576,1.75655,5.33388,,0.32833895649448
ADCYAP1,2.55361e-12,0.0543601,,0.297419,0.0294721207844675,
ADCYAP1R1,1.50807,1.89289,,0.568515,,0.158407482352647
ADD1,1.68174e-05,0.85006,4.29711,6.62791,0.332842160284317,0.146433933449208
ADD2,0.0,0.00914015,,0.244307,0.0359489160842008,
ADD3,12.9549,0.168092,3.74429,2.67456,0.13483124431354,0.0486295105608232
ADGB,0.0,0.610858,,0.00560321,,
ADGRA1,7.20771e-15,0.160298,,0.0931323,0.042753873186979,
ADGRA2,5.18282,17.2024,0.215784,2.07048,0.0932943609609636,0.0084620355825773
ADGRA3,3.44189,18.8333,2.92752,3.65142,0.0579541624997484,0.155343390233562
ADGRB1,7.49602e-14,1.05752,,0.166748,,
ADGRB2,0.0,0.292112,,0.785851,0.0140616104404234,
ADGRB3,1.08418e-11,0.0,5.77814,0.221047,0.0347800149377071,
ADGRD1,10.1209,10.7569,3.0719,2.00223,,0.0724067030560012
ADGRD2,,,,0.0051138,0.0065202104603416,
ADGRE1,0.101951,2.76532e-05,0.558687,0.0591568,,0.186533802415685
ADGRE2,,,4.45148,0.247103,0.0666830674172374,
ADGRE5,6.32254e-09,2.03418e-13,1.2792,4.29038,,0.173232099759046
ADGRF1,0.00181031,3.33748,,0.00838355,0.016555673170783,
ADGRF2,1.73145e-13,1.0793,,0.158815,0.023144763644984,
ADGRF3,0.0,0.232798,,0.102185,0.0295180066480638,
ADGRF4,2.74053e-13,0.0,,0.343436,0.0050755094084191,0.020715739597744
