Gene Name	g8_g7.log2foldchange
PRDM6	2.2
WNT8A	0.8
SPAG4	0.8
NCKAP1	4.6
MRPS35	0.8
GUCY1B1	4.2
SFSWAP	0.7
TNK2	0.7
MON2	0.6
CDH3	1.8
ARSF	0
GPBP1	0.4
DGAT2	0.5
ZNF112	0.8
CS	0.8
LTK	0.4
MRPS24	0.5
ELMO2	0.2
WAPL	0
VMP1	1.1
APPBP2	0.1
POLD1	0.8
SEZ6	1.4
EIF4B	0.1
SLC6A16	1.9
BICRA	0.5
SPHK2	0.3
RPL18	0.4
CA11	0.2
ISOC2	1.1
U2AF2	0.4
EPN1	0.2
MED29	0.1
AHRR	4.1
GSC2	0
ZNF275	0.1
MTMR1	0.5
GPC1	0.1
ADCK1	0.1
HAGH	0.1
RNF4	0.2
CASP8	2.1
LIMCH1	4.3
INTS13	1.2
TM7SF3	0.8
DLX3	0
SPA17	0.5
TSPAN32	2.2
CCN5	1
DMRT3	0
ST3GAL6	1
ATP2C2	1.2
NGFR	0.3
CDON	2.5
TAF2	0
HIPK2	1.4
TNPO3	0.3
BORCS8-MEF2B	0
RFXANK	0.4
TMEM161A	0.3
LPAR2	2
CTSA	0.1
SUGP2	0.1
SLC12A2	0.9
SNX24	0.8
EYA2	1
CNN2	0.2
ABCA7	0.5
SNCAIP	3.2
DDX20	0.3
BTBD1	0.3
FAR2	1.8
BCAS1	0.7
POU1F1	0
CHI3L2	1.8
SBNO2	1.4
PMS1	0.2
HMG20B	0.7
CALCRL	2.2
TAF11	0.1
ANKS1A	0.1
AP3D1	0.2
ZNF76	0.9
SLC9A3R2	0.9
NTHL1	0.7
UHRF1BP1	0.5
GNAI3	0.6
IPO5	1.4
OAT	0
WDR3	0.9
PKN2	0.5
WDR18	1.3
TRAM2	0.9
NTN1	0.2
GLP2R	3.3
MCM10	2.6
DGKA	1.2
ERBB3	1.8
ROPN1	1.3
ANKRD44	1.3
KARS1	0.8
ADAT1	0.5
PDIA5	1.3
TBC1D22B	0.3
NDUFB4	1.7
SPEN	0.7
MYLK	0.8
ZC3H15	0.3
MAP2K4	0.2
PACC1	0.4
SNAP91	0.8
SLK	0
CYB5R4	0.4
COL17A1	1.7
GSTO2	0.1
SEC61A2	0.4
PRKCQ	0.9
TLE2	0.3
ASB1	0.4
FAM107B	0.6
ME1	2.5
TBC1D1	0.1
CDK13	0.9
MTHFD2	1.4
SLC9A7	0.6
FOXJ2	0.6
YBX1	0.7
PDE4A	2
PPP2R5A	0.1
CTNNA2	4
ELAVL1	1
TIE1	2.6
DIP2B	0.4
SMARCD1	0.2
KDM4A	0.2
NFYC	0.1
ZMYND12	0.5
SLC9A3	0.6
NGEF	1.9
ASPM	3.2
CD84	0.4
ELOVL1	0.3
SPI1	0.5
ZNRD1	0.1
MPPED2	1.6
CLDN18	1.9
ZBTB11	0
ATXN3	0.2
GOLGA5	0.5
FGFR2	1.7
LRRC40	0.7
ISOC1	1
EML1	3.6
TRMT11	0.4
THUMPD1	0.1
MSANTD3	0.5
KIF26A	2
ATG2B	0.4
ARFGEF1	0.5
ACSM2B	2.7
ZFAT	0.6
MTFR1	0.6
STAG3	0.6
FECH	1.8
MYO9A	0.6
DDX3Y	1.8
PFKP	0.5
IDI1	0.2
SP100	0.8
KLF6	2.5
PLPP1	0.3
NEO1	1.6
TRAM1	0.7
PHKA1	1.3
TNFRSF1A	3.9
CACNB1	0.6
EVI5	1.3
STOML1	0.2
PKM	1
DHX29	0.4
DNTTIP2	0.3
METTL22	0.5
TP53BP1	0.8
TRO	0.3
RRP15	0.2
RHOA	0.6
DHX8	0
PMS2P4	0.1
PRKCZ	1.1
ZFY	0.9
IARS2	0.5
SYT1	0.4
NAV3	4.1
IDH3G	0.5
ROGDI	0.2
PDZD4	0.9
ATP2B3	2.7
ROCK1	0.3
CBFB	0.1
PDK3	0.3
HYAL2	1.3
HDAC4	1.4
RASSF1	0.4
FGFR3	0.7
IFI35	1.8
HEATR6	0.7
COASY	0.5
PLEKHH3	2.5
MEF2A	0.3
OTUD5	0.4
TFE3	0
TBC1D25	0.1
ACSL4	1
INPP5A	0.5
GPKOW	0.4
GRIPAP1	0.8
FTSJ1	0.5
PRR11	2.7
REEP1	2.7
ATP11A	0.4
POLR1A	0.3
LAPTM4A	0.6
TTC7A	0.9
IP6K2	0.2
STON1-GTF2A1L	0
SRBD1	0.5
KIF2A	0.5
RASGRP2	3
PSME4	0.1
IFT80	0
SIRT2	0.8
ERLEC1	0.5
PPP2R5B	1.2
PYGM	2.5
PAGE1	0
PITX1	0
TRPC7	1.5
MAST4	0.4
ADGRF5	3.1
SDK2	3.8
ADAM7	2.8
NUP133	0.4
NUCKS1	0.6
VPS35	0.3
DNAJA2	0.5
BCL3	0.5
KCNAB2	0.1
ABCC9	0.7
GAL	0
CLEC2D	0.1
FUNDC1	0.3
MAOB	0.5
RORA	0
DRD4	0.2
TGFBR3	2.2
PLA2G10	0.3
HES2	2.4
ATP1B3	1.2
NEDD4	3
PIGB	0.8
MAPK6	1.7
GNB5	1.7
RAB27A	0.9
HDHD5	0.4
UFD1	0.7
LRP6	0.3
GUCY2C	0.3
SCT	0
PHRF1	0.2
ELP1	0.1
NUCB2	2.5
PFN2	0.6
PTPN3	3.6
SPTB	4.3
DAPP1	0.5
FGF10	0
SLC44A1	1.8
TMEM260	0.3
SMG6	0.5
EXOC5	0.7
CLTCL1	0.6
FGF22	0
FSTL3	0.1
DGCR2	0.4
RNF126	0.4
MNT	0.4
ZXDC	1
JMJD6	0
POLB	0.7
ST6GALNAC1	1.9
WIPI1	1.6
FRMPD1	2.5
GBA2	0.5
NDST1	1.4
ASNS	0.4
AP3M2	0.9
CNGB1	3.8
ST6GALNAC2	0
CHAT	2.7
PABPC1	0.2
TESK2	0
CFAP20	0.2
CSNK2A2	0.5
PTPN21	2.3
EIF2B3	0.7
CAMK2A	0.7
TCOF1	0.6
CDC42	0.9
OSBPL3	0.1
EPHA8	2.5
SLC12A3	0.1
RAD18	0.9
ATP2B1	0.7
TRPM5	0.8
NCK2	0.5
MAP4K4	1.2
MGAT4A	2.2
RPL31	0.5
WDR1	0.5
SNX13	0.3
MS4A12	2.2
ARHGAP10	2.3
RPS6KA2	0.3
ING3	0.6
VASH1	1.3
LMCD1	0.6
BUD23	0.2
SEL1L	0.8
TRIP13	2.3
ATP6AP1	0
TCF3	0.3
TRIB2	0.9
DAZAP1	0.4
MBD3	0.5
PRLH	0
HLTF	0.5
FAM50A	0.1
FAM3A	0.2
CPSF1	0.5
MYO3B	2.7
CYBRD1	2
CDH19	2.1
PDCD2	0.6
SLC6A15	2.2
RDH11	1.2
PRKACA	0.3
ADGRL1	0.2
SPP2	0
ACTN1	4.2
ZFYVE26	0.2
RPS6KA6	0.9
EPN2	1
PTPN18	0.1
LIMS2	2.1
ASIC4	1.5
SPEG	2.1
LNX1	0.9
ALDH3A2	1
TFRC	1.2
SREBF1	1.2
TRPC5	0.5
AFF4	1.4
UBE2D1	0.5
MPP5	0.2
RHOBTB1	0.6
SMC1A	0.2
HSD17B10	1.1
MARK2	0.4
HMMR	3.1
CHFR	0.2
TRHDE	1.8
P4HA2	0.3
FCGR2B	0.1
NFATC3	1.2
TRNT1	0.6
ACADVL	0.1
STK10	0.4
FBXW11	0.2
ACAP1	0.7
CRMP1	1.4
EVC	0.8
DERL2	0.2
SIDT1	0.9
NDE1	0.1
MRVI1	0.6
TMEM38A	1.8
AP1M1	0.2
PVR	2.3
XRCC1	0.1
SCARB1	2.1
CYP2W1	0.3
MCM2	1.5
MOV10L1	0.8
PANX2	1.2
SELENOO	0.9
TP63	3
ALPK1	0.1
LLGL2	1.7
PDE8A	0.3
CLCN4	1.6
NLE1	0.6
SDHA	1
SMARCE1	0.2
FNDC8	0.5
GSDMB	0.7
KDM5A	0.7
ADAM11	0.1
PPP2R3A	1
FERMT2	2.7
ABCB11	1.8
DHRS9	0.8
CD5L	1.8
PTGS2	1.1
IGF2BP2	2.3
MAP3K13	0.7
ST6GAL1	0.1
TBX21	1.8
VDAC1P1	1.1
FRY	0.7
PICALM	0.2
NSF	0
GLI2	2.7
CLASP1	0
MRPS34	1
NOTCH3	2.7
CLNS1A	0.8
PPP2R2C	3
TEAD2	1
EED	0.7
CDHR2	1.8
SNCB	1.5
TSG101	0.3
NCBP3	0.5
ATP2A3	1.8
CA12	1.8
MGLL	3.6
NTN4	2.1
BCS1L	0.1
NUAK1	2.8
DPP8	0.1
SLC24A1	0.7
ZNF532	2.2
SCARF1	3.9
LMAN1	1.4
HACD3	1
IPCEF1	4.7
ZZEF1	0.7
NOX3	1.8
ENO1	1.2
SLC12A1	1.9
MYDGF	1.7
ANO8	1
TUBE1	0.1
ARHGEF10L	1.4
TXK	1.5
WSCD2	1.2
KCNQ2	1.2
TACR2	0.4
ACTR6	0.1
TIPIN	1.5
SRI	0.5
EIF4G3	0.8
NUP37	1.6
SEMA3A	2.9
GTSE1	2.9
